,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n 117,Harun ,,,"Harun adalah kakak laki-laki Musa. 1500 tahun sebelum Yesus, Harun membantu Musa memimpin orang Israel keluar dari Mesir. Setelah itu, Allah menetapkan Harun sebagai imam besar/kepala pertama di Israel.",,,"Since these are brief definitions of key terms to help with translation, they do not have to be enclopedic in scope, nor to provide bible verses. (My sentences in parentheses remain optional.)",,,,,,,,,,,,,,,,,,,,,,,,
n 102,Habel,,Abel (W); Habil,"Sekitar 4000 tahun sebelum Yesus, dua anak laki-laki pertama Adam dan Hawa bernama Kain dan Habel. Habel menghormati Tuhan, tetapi Kain tidak menghormati Dia. Setelah Tuhan menegur Kain, Kain menjadi marah dan membunuh saudaranya Habel.",,,In violation of my previous rationale.,,,,,,,,,,,,,,,,,,,,,,,,
t,Abimelekh,raja,,Orang Filistin menyebut raja mereka Abimelekh,"Kaisar, Firaun, raja",,,,,,,,,,,,,,,,,,,,,,,,,,
n 117,Abraham ,,Ibraayma (W); Ibrahim,"Abram hidup sekitar 2000 tahun sebelum Yesus. Karena Abram percaya dengan janji-janji Tuhan, Tuhan menyatakan dia benar dan mengubah namanya menjadi Abraham yang berarti ""Bapa banyak bangsa"". (Meskipun istri Abram, Sarai, tidak memiliki anak, Tuhan berjanji kepada Abram bahwa dia akan menjadi leluhur banyak suku dan bangsa.) Abraham menjadi leluhur semua orang Israel dan banyak bangsa yang lain. (Nama Abram berarti Bapak yang Mulia.)",Abram,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Abram,,Ibraam (W),Allah mengubah nama Abram menjadi Abraham  ketika Allah membuat perjanjian dengannya. Kemudian Allah mengubah nama Istri Abram yang bernama Sarai menjadi Sarah. (Nama Abram berarti Bapa yang Mulia.),Abraham,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Absalom,,,"Absalom adalah anak laki-laki favorit Raja Daud. Dia membunuh salah satu saudara laki-lakinya, dan dia mencoba menjadi raja ketika Daud masih hidup. Absalom mati ketika dia dan beberapa orang berperang melawan tentara Daud. (Nama Absalom berarti Bapak perdamaian.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Absalom,,,"Absalom adalah anak laki-laki ketiga Raja Daud. Ibunya adalah Maakha. Absalom membunuh anak laki-laki pertama Daud, Amnon, dan kemudian memberontak melawan Daud. (Nama Absalom berarti Bapak perdamaian.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Akhaya,,,Akhaya adalah provinsi di Yunani barat.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Akhan,,,"Akhan adalah seorang pria Israel yang mencuri emas, perak dan pakaian milik Tuhan. Ketika Tuhan mengidentifikasi dia sebagai orang berdosa, Tuhan menyuruh Yosua dan orang Israel untuk membunuh Akhan dan seluruh keluarganya dengan melempari mereka dengan batu. Tujuan hukuman ini untuk membuat orang lain takut menderita akibat yang sama kalau mereka melakukan hal-hal buruk itu juga.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Adam,,Aadama (W),"Adam hidup sekitar 4000 tahun sebelum Yesus. Adam adalah manusia pertama yang diciptakan Allah. Karena Adam dan istrinya Hawa tidak menaati Allah, semua manusia harus mati. Alkitab menyebut Yesus Adam Kedua, karena Yesus memberikan hidup yang kekal kepada manusia.",Hawa,,"The concept of transmitted sin remains pure theology, whereas Scripture relates Adam to human death, even for those who have not sinned in the same way as did Adam.",,,,,,,,,,,,,,,,,,,,,,,,
n,Adonia,,,"Adonia adalah salah satu anak laki-laki bungsu Raja Daud. Ketika Daud sudah tua, Adonia berusaha menjadi raja, tetapi Daud menyatakan bahwa Salomo harus menjadi raja. (Nama Adonia berarti Tuanku adalah TUHAN.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Adoni-Zedek,,,Adoni-Zedek adalah seorang raja Kanaan di Yerusalem yang ditangkap oleh Yosua dan orang Israel dan dibunuh setelah pertempuran yang panjang.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,persetujuan,,"janji bagaimana bertindak;
perkataannya tidak berbeda dengan (sama dengan) perkataan orang lain (G);","Ketika dua orang atau negara berjanji untuk saling membantu, mereka menyatakan atau menulis persetujuan yang menceritakan apa yang akan mereka lakukan.","perjanjian, janji",binding talk; promise how to act,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Agripa,,,"Agripa, cucu Raja Herodes, adalah orang terakhir yang disebut ""Raja Yudea"". Dia memerintah antara tahun 41 dan 44 di bawah kekuasaan Romawi. Dia pernah datang untuk mendengarkan Paulus di Kaisarea.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Ahia,,,"Beberapa pria bernama Ahia di dalam Alkitab. Seorang nabi di Israel utara, seorang raja, dan seorang imam di Yerusalem. (Nama Ahia berarti Saudara Tuhan.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ai,,,Ai adalah kota Kanaan yang penuh dengan orang-orang yang menyembah dewa-dewa. Allah mengungkapkan rencana kepada Yosua yang membantu tentara Israel untuk merebut Ai dan menghancurkannya sesuai dengan perintah Allah.  ,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,pualam,,yang terbuat dari batu (R),Pualam adalah jenis batu lunak yang yang bisa diukir untuk membuat botol dan toples.,,,"Some call this 'soap stone.' In careful English, rock = material, and stone = clump of rock.",,,,,,,,,,,,,,,,,,,,,,,,
t,persekutuan,sekutu,"menjadi teman (G);
bertarung di pihak yang sama
","Ketika dua negara atau tentara setuju untuk berperang melawan musuh, mereka bersekutu.",,fight on the same side,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,gaharu ,,"parfum (W);
Sesuatu yang berbau harum yang disebut gaharu (R)","Tanaman gaharu memiliki getah yang digunakan untuk membuat krim atau obat kulit.
Getah gaharu itu dari kayu yang berbau harum dan digunakan untuk membuat parfum.",,"Aloe plants have sap, which is used to make skin cream or medicine.",Usage will be evident in each context.,,,,,,,,,,,,,,,,,,,,,,,,
t,Alfa,,"Pertama; awal (P);
Alpa (K)","Alfa adalah huruf pertama dari alfabet Yunani. Seperti ""A"". Kitab Wahyu menyebut Yesus Sang Alfa, karena dialah Tuhan yang menciptakan (yang pertama kali memulai) segala sesuatu sungguh amat baik.",Omega,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mezbah,mezbah-mezbah,"meja/panggung korban;
tempat penyembelihan;
tempat persembahan (sesuatu);
platform memasak hadiah/persembahan (R);
di mana pengorbanan dilakukan (P, W)","Mezbah adalah meja atau platform kasar yang terbuat dari (ditumpuk) batu atau logam, di mana orang mempersembahkan korban kepada Tuhan. Allah memerintahkan Israel untuk membuat mezbah di Kemah Suci dan, kemudian, di Bait Suci di Yerusalem.","korban, menyembah
",,"Refer to encyclopedias for the history of altars, to anthropology for the pagan use of altars, and to church tradition for ecclesial use of altars. Believers have an altar in heaven: Jesus.",,,,,,,,,,,,,,,,,,,,,,,,
t,amin,,"semoga itu (P, W);
itu benar!","Amin adalah kata Ibrani yang berarti ya, itu benar, saya percaya, atau begitulah",,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
n,Amon,"Orang-orang Amon, orang Amon",,"Amon adalah anak laki-laki Lot, keponakan Abraham. Amon lahir ketika anak perempuan Lot membuatnya mabuk dan tidur dengannya. Keturunan Amon menjadi orang Amon yang terkadang menjadi musuh Israel. Mereka menyembah berhala.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Amnon,,,"Amnon adalah anak laki-laki pertama Raja Daud. Setelah Amnon memperkosa Tamar, anak perempuan Daud, saudara laki-lakinya Absalom membunuh Amnon. (Nama Amnon berarti Setia.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ananias,,,Ada tiga pria bernama Ananias dalam Perjanjian Baru: (1) seorang Kristen di Yerusalem yang meninggal ketika dia berbohong kepada Tuhan; (2) seorang Kristen di Damaskus yang membaptis Saulus; (3) dan seorang imam besar di Yerusalem yang menentang para rasul Yesus. (Nama Ananias berarti Tuhan menjawab.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Andreas,,,Andreas adalah saudara laki-laki Petrus. Mereka berdua menjadi bagian dari 12 rasul Yesus. (Nama Andreas berarti jantan.),,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,malaikat,malaikat-malaikat,"utusan roh yang taat kepada Tuhan (yang diutus Tuhan); utusan dari Tuhan/surga;
Yang dari tempat kediaman Tuhan (G); pembantu Tuhan (P)","Malaikat adalah kata Yunani yang berarti utusan. Ketika Tuhan mengirimkan roh dengan pesan untuk manusia, roh itu bisa terlihat sebagai manusia dan bisa berbicara dalam bahasa manusia. Kelihatan roh jahat terkadang sebagai malaikat. Kata malaikat dalam bahasa Yunani menggambarkan pekerjaan atau peran, bukan sejenis makhluk.","setan, nabi",arabic ref.,"Angels remain not a kind of creature, but a job description.",,,,,,,,,,,,,,,,,,,,,,,,
